iter	Passed	Remaining
285	1565	3907
286	1570	3902
287	1576	3896
288	1580	3888
289	1585	3880
290	1590	3875
291	1596	3870
292	1601	3864
293	1606	3858
294	1611	3851
295	1616	3844
296	1622	3840
297	1627	3835
298	1633	3829
299	1639	3824
300	1644	3819
301	1649	3812
302	1654	3806
303	1659	3800
304	1664	3792
305	1669	3786
306	1675	3782
307	1681	3779
308	1690	3779
309	1695	3772
310	1706	3780
311	1712	3776
312	1724	3784
313	1729	3779
314	1735	3773
315	1743	3773
316	1753	3777
317	1758	3771
318	1763	3763
319	1767	3756
320	1775	3755
321	1786	3760
322	1794	3760
323	1798	3752
324	1804	3746
325	1811	3745
326	1816	3737
327	1822	3734
328	1828	3729
329	1832	3721
330	1840	3720
331	1845	3713
332	1850	3706
333	1855	3699
334	1860	3692
335	1866	3687
336	1871	3681
337	1876	3675
338	1885	3675
339	1890	3670
340	1898	3668
341	1903	3661
342	1908	3655
343	1915	3652
344	1920	3646
345	1931	3649
346	1938	3647
347	1946	3647
348	1952	3641
349	1961	3641
350	1967	3638
351	1976	3639
352	1986	3640
353	1991	3634
354	1997	3629
355	2006	3629
356	2010	3621
357	2017	3617
358	2022	3611
359	2027	3604
360	2038	3608
361	2044	3603
362	2051	3599
363	2057	3594
364	2066	3594
365	2071	3587
366	2076	3580
367	2083	3578
368	2089	3572
369	2098	3573
370	2106	3571
371	2112	3566
372	2118	3560
373	2124	3556
374	2131	3551
375	2137	3546
376	2142	3540
377	2148	3535
378	2157	3535
379	2164	3531
380	2170	3525
381	2175	3518
382	2180	3512
383	2188	3510
384	2195	3506
385	2201	3502
386	2207	3496
387	2216	3496
388	2222	3490
389	2228	3485
390	2233	3479
391	2238	3472
392	2248	3472
393	2255	3469
394	2264	3468
395	2270	3462
396	2276	3457
397	2283	3454
398	2292	3452
399	2297	3446
400	2302	3440
401	2307	3433
402	2312	3425
403	2318	3419
404	2325	3415
405	2330	3409
406	2340	3409
407	2345	3402
408	2350	3396
409	2364	3402
410	2369	3395
411	2374	3388
412	2380	3384
413	2387	3379
414	2393	3374
415	2404	3374
416	2409	3368
417	2414	3361
418	2419	3354
419	2423	3347
420	2429	3341
421	2434	3333
422	2439	3326
423	2443	3319
424	2448	3313
425	2454	3306
426	2458	3299
427	2463	3292
428	2468	3286
429	2473	3279
430	2478	3271
431	2484	3266
432	2489	3259
433	2493	3252
434	2498	3245
435	2504	3239
436	2508	3232
437	2513	3224
438	2518	3218
439	2523	3211
440	2527	3204
441	2532	3197
442	2538	3191
443	2543	3185
444	2551	3181
445	2557	3176
446	2563	3170
447	2568	3164
448	2573	3158
449	2581	3155
450	2586	3149
451	2592	3143
452	2599	3138
453	2604	3132
454	2613	3130
455	2617	3122
456	2622	3115
457	2627	3109
458	2632	3102
459	2636	3094
460	2642	3089
461	2647	3083
462	2651	3075
463	2660	3072
464	2664	3065
465	2669	3058
466	2673	3051
467	2678	3044
468	2683	3038
469	2689	3032
470	2694	3025
471	2698	3019
472	2704	3013
473	2709	3007
474	2714	3000
475	2719	2993
476	2723	2986
477	2728	2979
478	2733	2972
479	2739	2967
480	2743	2960
481	2748	2953
482	2753	2947
483	2758	2940
484	2762	2933
485	2767	2926
486	2772	2920
487	2777	2913
488	2781	2907
489	2786	2900
490	2791	2894
491	2796	2887
492	2801	2880
493	2806	2874
494	2811	2868
495	2815	2861
496	2820	2855
497	2826	2848
498	2831	2843
499	2837	2837
500	2841	2830
501	2848	2825
502	2853	2818
503	2858	2813
504	2863	2806
505	2868	2800
506	2873	2794
507	2878	2787
508	2883	2781
509	2889	2776
510	2902	2777
511	2907	2771
512	2914	2766
513	2919	2760
514	2924	2753
515	2930	2748
516	2935	2742
517	2940	2736
518	2945	2730
519	2951	2724
520	2956	2718
521	2962	2712
522	2967	2706
523	2973	2701
524	2981	2697
525	2988	2693
526	2994	2688
527	3001	2683
528	3006	2677
529	3012	2671
530	3017	2665
531	3023	2659
532	3029	2654
533	3035	2649
534	3040	2642
535	3047	2637
536	3051	2631
537	3056	2624
538	3061	2618
539	3066	2612
540	3071	2605
541	3077	2600
542	3082	2594
543	3087	2587
544	3092	2581
545	3097	2575
546	3102	2568
547	3107	2563
548	3112	2557
549	3117	2550
550	3122	2544
551	3126	2537
552	3130	2530
553	3135	2524
554	3140	2517
555	3144	2511
556	3148	2504
557	3153	2497
558	3159	2492
559	3167	2488
560	3175	2484
561	3182	2479
562	3188	2475
563	3195	2470
564	3201	2464
565	3208	2460
566	3213	2454
567	3220	2449
568	3229	2446
569	3237	2442
570	3245	2438
571	3254	2435
572	3264	2432
573	3272	2429
574	3281	2425
575	3290	2422
576	3299	2418
577	3307	2415
578	3316	2411
579	3326	2409
580	3335	2405
581	3344	2402
582	3354	2399
583	3366	2398
584	3377	2395
585	3386	2392
586	3394	2388
587	3404	2385
588	3413	2381
589	3424	2379
590	3435	2377
591	3445	2374
592	3455	2371
593	3464	2368
594	3473	2364
595	3483	2361
596	3492	2357
597	3501	2354
598	3511	2350
599	3519	2346
600	3531	2344
601	3541	2341
602	3551	2338
603	3561	2335
604	3572	2332
605	3581	2328
606	3592	2326
607	3603	2323
608	3611	2318
609	3620	2314
610	3626	2308
611	3634	2304
612	3643	2300
613	3654	2297
614	3663	2293
615	3673	2290
616	3685	2287
617	3694	2283
618	3704	2280
619	3716	2278
620	3727	2274
621	3741	2273
622	3749	2268
623	3758	2264
624	3767	2260
625	3778	2257
626	3788	2254
627	3797	2249
628	3808	2246
629	3815	2241
630	3823	2235
631	3827	2228
632	3833	2222
633	3838	2216
634	3845	2210
635	3851	2204
636	3858	2198
637	3863	2192
638	3868	2185
639	3874	2179
640	3880	2173
641	3887	2168
642	3896	2163
643	3904	2158
644	3911	2152
645	3917	2146
646	3927	2142
647	3936	2138
648	3947	2134
649	3958	2131
650	3968	2127
651	3979	2124
652	3989	2119
653	3997	2115
654	4008	2111
655	4017	2106
656	4026	2102
657	4036	2098
658	4045	2093
659	4056	2089
660	4065	2084
661	4074	2080
662	4084	2076
663	4095	2072
664	4104	2067
665	4111	2061
666	4118	2056
667	4125	2050
668	4132	2044
669	4143	2040
670	4152	2035
671	4161	2031
672	4170	2026
673	4180	2021
674	4189	2017
675	4201	2013
676	4212	2009
677	4221	2004
678	4230	2000
679	4239	1995
680	4248	1989
681	4258	1985
682	4268	1980
683	4277	1975
684	4285	1970
685	4302	1969
686	4312	1964
687	4322	1960
688	4332	1955
689	4342	1950
690	4351	1945
691	4360	1940
692	4369	1935
693	4380	1931
694	4388	1926
695	4398	1921
696	4407	1916
697	4416	1910
698	4426	1905
699	4435	1901
700	4444	1895
701	4455	1891
702	4464	1886
703	4474	1881
704	4483	1876
705	4493	1871
706	4502	1866
707	4511	1860
708	4521	1855
709	4530	1850
710	4539	1845
711	4549	1840
712	4558	1834
713	4568	1829
714	4577	1824
715	4586	1819
716	4595	1813
717	4604	1808
718	4613	1803
719	4623	1798
720	4632	1792
721	4642	1787
722	4651	1782
723	4661	1776
724	4670	1771
725	4678	1765
726	4688	1760
727	4697	1755
728	4706	1749
729	4715	1744
730	4724	1738
731	4737	1734
732	4747	1729
733	4757	1724
734	4765	1718
735	4773	1712
736	4782	1706
737	4791	1700
738	4798	1694
739	4804	1687
740	4813	1682
741	4821	1676
742	4832	1671
743	4842	1666
744	4851	1660
745	4859	1654
746	4867	1648
747	4875	1642
748	4883	1636
749	4892	1630
750	4901	1625
751	4910	1619
752	4920	1613
753	4928	1608
754	4937	1602
755	4947	1596
756	4955	1590
757	4964	1585
758	4973	1579
759	4984	1574
760	4993	1568
761	5002	1562
762	5011	1556
763	5020	1550
764	5028	1544
765	5037	1538
766	5046	1532
767	5055	1527
768	5064	1521
769	5074	1515
770	5084	1510
771	5093	1504
772	5103	1498
773	5112	1492
774	5120	1486
775	5129	1480
776	5141	1475
777	5151	1469
778	5159	1463
779	5168	1457
780	5176	1451
781	5185	1445
782	5196	1440
783	5205	1434
784	5214	1428
785	5222	1422
786	5231	1415
787	5240	1409
788	5249	1403
789	5258	1397
790	5269	1392
791	5279	1386
792	5288	1380
793	5297	1374
794	5307	1368
795	5316	1362
796	5324	1356
797	5333	1350
798	5341	1343
799	5350	1337
800	5359	1331
801	5368	1325
802	5377	1319
803	5386	1313
804	5395	1307
805	5407	1301
806	5416	1295
807	5425	1289
808	5435	1283
809	5445	1277
810	5454	1271
811	5462	1264
812	5470	1258
813	5478	1251
814	5486	1245
815	5496	1239
816	5505	1233
817	5514	1226
818	5524	1220
819	5532	1214
820	5542	1208
821	5550	1201
822	5559	1195
823	5567	1189
824	5577	1183
825	5587	1177
826	5596	1170
827	5606	1164
828	5616	1158
829	5624	1152
830	5634	1145
831	5644	1139
832	5654	1133
833	5663	1127
834	5681	1122
835	5693	1116
836	5699	1109
837	5704	1102
838	5711	1096
839	5718	1089
840	5725	1082
841	5733	1075
842	5743	1069
843	5751	1063
844	5761	1056
845	5772	1050
846	5782	1044
847	5790	1037
848	5796	1031
849	5803	1024
850	5809	1017
851	5818	1010
852	5826	1004
853	5837	997
854	5846	991
855	5856	985
856	5866	978
857	5875	972
858	5886	966
859	5895	959
860	5903	953
861	5913	946
862	5924	940
863	5944	935
864	5957	929
865	5967	923
866	5976	916
867	5981	909
868	5986	902
869	5994	895
870	6004	889
871	6011	882
872	6019	875
873	6027	868
874	6034	862
875	6041	855
876	6048	848
877	6054	841
878	6059	834
879	6064	826
880	6071	820
881	6079	813
882	6088	806
883	6097	800
884	6106	793
885	6119	787
886	6132	781
887	6140	774
888	6149	767
889	6158	761
890	6166	754
891	6175	747
892	6182	740
893	6190	733
894	6197	727
895	6204	720
896	6211	713
897	6217	706
898	6223	699
899	6229	692
900	6238	685
901	6247	678
902	6257	672
903	6266	665
904	6275	658
905	6285	652
906	6294	645
907	6302	638
908	6311	631
909	6321	625
910	6330	618
911	6338	611
912	6348	604
913	6358	598
914	6368	591
915	6376	584
916	6383	577
917	6391	570
918	6399	564
919	6409	557
920	6419	550
921	6428	543
922	6437	537
923	6446	530
924	6455	523
925	6464	516
926	6473	509
927	6482	502
928	6491	496
929	6500	489
930	6509	482
931	6518	475
932	6528	468
933	6535	461
934	6541	454
935	6549	447
936	6555	440
937	6562	433
938	6571	426
939	6580	420
940	6589	413
941	6603	406
942	6614	399
943	6626	393
944	6641	386
945	6646	379
946	6651	372
947	6658	365
948	6663	358
949	6670	351
950	6675	343
951	6680	336
952	6689	329
953	6694	322
954	6702	315
955	6707	308
956	6712	301
957	6719	294
958	6726	287
959	6731	280
960	6736	273
961	6742	266
962	6752	259
963	6759	252
964	6766	245
965	6772	238
966	6780	231
967	6785	224
968	6791	217
969	6798	210
970	6804	203
971	6811	196
972	6819	189
973	6826	182
974	6834	175
975	6843	168
976	6849	161
977	6854	154
978	6860	147
979	6865	140
980	6885	133
981	6911	126
982	6926	119
983	6934	112
984	6944	105
985	6952	98
986	6963	91
987	6978	84
988	6995	77
989	7004	70
990	7013	63
991	7021	56
992	7030	49
993	7036	42
994	7051	35
995	7061	28
996	7070	21
997	7079	14
998	7086	7
999	7092	0
